Date,Title,Genres
19 abr 2024,Spy x Family Code: White (2023),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,"Disco, Ibiza, Locomía (2024)","['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,Dragonkeeper (Guardiana de dragones) (2024),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,+Cuñados (2024),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,Hate songs (2024),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
19 abr 2024,Sueños y Pan (2023),"['Acción', 'Aventura', 'Terror', 'Suspense', 'Acción', 'Suspense', 'Acción', 'Crimen', 'Suspense', 'Drama', 'Animación', 'Acción', 'Comedia', 'Biografía', 'Drama', 'Música', 'Animación', 'Comedia', 'Drama', 'Comedia', 'Drama']"
26 abr 2024,Immaculate (2024),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
26 abr 2024,Rivales (2024),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
26 abr 2024,Siempre nos quedará mañana (2023),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
26 abr 2024,Lo que sucede después (2023),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
26 abr 2024,La gran escapada (2023),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
26 abr 2024,Rabos: El musical (2023),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
26 abr 2024,Mamífera (2024),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
26 abr 2024,Bull Run (2023),"['Terror', 'Drama', 'Romance', 'Deporte', 'Zendaya', 'Comedia', 'Drama', 'Comedia', 'Romance', 'Drama', 'Comedia', 'Musical', 'Comedia', 'Drama', 'Documental', 'Comedia']"
01 may 2024,Garfield: La película (2024),"['Animación', 'Aventura', 'Comedia', 'Biografía', 'Drama', 'Drama', 'Suspense', 'Comedia']"
01 may 2024,Montessori (2023),"['Animación', 'Aventura', 'Comedia', 'Biografía', 'Drama', 'Drama', 'Suspense', 'Comedia']"
01 may 2024,L'amour et les forêts (2023),"['Animación', 'Aventura', 'Comedia', 'Biografía', 'Drama', 'Drama', 'Suspense', 'Comedia']"
01 may 2024,La casa (2024),"['Animación', 'Aventura', 'Comedia', 'Biografía', 'Drama', 'Drama', 'Suspense', 'Comedia']"
03 may 2024,El especialista (2024),"['Acción', 'Comedia', 'Drama']"
05 may 2024,Ex-Husbands (2023),"['Comedia', 'Drama']"
10 may 2024,Cabrini (2024),"['Biografía', 'Drama', 'Terror', 'Avantika', 'Animación', 'Aventura', 'Drama', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Drama']"
10 may 2024,Tarot (2024),"['Biografía', 'Drama', 'Terror', 'Avantika', 'Animación', 'Aventura', 'Drama', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Drama']"
10 may 2024,Shen hai (2023),"['Biografía', 'Drama', 'Terror', 'Avantika', 'Animación', 'Aventura', 'Drama', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Drama']"
10 may 2024,Aquellos maravillosos días (2024),"['Biografía', 'Drama', 'Terror', 'Avantika', 'Animación', 'Aventura', 'Drama', 'Comedia', 'Drama', 'Comedia', 'Drama', 'Drama', 'Suspense', 'Drama']"
